Il	Iل
dermatoloġija	دeرمَتْلْġِجَ
War	Wَر
Memorial	Meمْرَِل
Hospital	حْسةِتَل
for	فْر
Children	Cهِلدرeن
Tul	طُل
Supretendent	صُةرeتeندeنت
Blue	Bلُe
Sisters	صِستeرس
veneoroloġija	ثeنeْرْلْġِجَ
Flimkien	ًلِمكِeن
sieħbu	سِeħبُ
waqqaf	وَققَف
għadha	غħَدهَ
attiva	َتتِثَ
Leħen	Leħeن
nnifsu	ننِفسُ
deher	دeهeر
ġabra	ġَبرَ
Poeżiji	پْeżِجِ
grazzi	غرَززِ
insistenza	ِنسِستeنزَ
ħabibu	ħَبِبُ
Valentin	ڤَلeنتِن
Barbara	Bَربَرَ
kitibhom	كِتِبهْم
folji	فْلجِ
maqtugħa	مَقتُغħَ
ktejjeb	كتeججeب
but	بُت
ġewwa	ġeووَ
pakketti	ةَككeتتِ
vojta	ثْجتَ
sigaretti	سِغَرeتتِ
Oħrajn	Oħرَجن
tar	تَر
riċetti	رِċeتتِ
mediċi	مeدِċِ
boroż	بْرْż
insomma	ِنسْممَ
kulma	كُلمَ
idejh	ِدeجه
waqt	وَقت
muża	مُżَ
taċ	تَċ
ċokon	ċْكْن
sempliċità	سeمةلِċِتà
apprezzat	َةةرeززَت
kritiċi	كرِتِċِ
letterarji	لeتتeرَرجِ
Bosta	Bْستَ
kitbu	كِتبُ
fuqu	فُقُ
kummenti	كُممeنتِ
interpretazzjoni	ِنتeرةرeتَززجْنِ
individwali	ِندِثِدوَلِ
espressjoni	eسةرeسسجْنِ
artistika	َرتِستِكَ
universali	ُنِثeرسَلِ
Rebħ	Reبħ
jalludu	جَللُدُ
protesta	ةرْتeستَ
Empire	عمةِرe
Stadium	صتَدُِم
sapporters	سَةةْرتeرس
2	2
1945	1945
qabel	قَبeل
logħba	لْغħبَ
ħbiberija	ħبِبeرِجَ
tim	تِم
Jugoslav	چُغْسلَث
Hadjuk	حَدجُك
Split	صةلِت
Hrvatski	حرثَتسكِ
nogometni	نْغْمeتنِ
klub	كلُب
Hajduk	حَجدُك
ħabta	ħَبتَ
mad	مَد
King	ٍِنغ
Own	Oون
Band	Bَند
daqqew	دَققeو
kemm	كeمم
innu	ِننُ
nazzjonali	نَززجْنَلِ
God	گْد
Save	صَثe
the	تهe
mingħajr	مِنغħَجر
Innu	Iننُ
folla	فْللَ
maqrusa	مَقرُسَ
laħam	لَħَم
ħaj	ħَج
qamet	قَمeت
wieqfa	وِeقفَ
tkanta	تكَنتَ
spontanjament	سةْنتَنجَمeنت
Dun	ضُن
Karm	ٍَرم
Sammut	صَممُت
emozzjonanti	eمْززجْنَنتِ
ferm	فeرم
fomm	فْمم
kulħadd	كُلħَدد
ġimgħat	ġِمغħَت
sħaħ	سħَħ
tpenġa	تةeنġَ
`	ٰ
poezija	ةْeزِجَ
sens	سeنس
qawwi	قَووِ
patrijotizmu	ةَترِجْتِزمُ
qamu	قَمُ
apatija	َةَتِجَ
fiha	فِهَ
taht	تَهت
hakmiet	هَكمِeت
barannin	بَرَننِن
Lil	Lِل
Hawn	حَون
jinħass	جِنħَسس
introvers	ِنترْثeرس
lirika	لِرِكَ
fassal	فَسسَل
pedament	ةeدَمeنت
moderna	مْدeرنَ
Maltij	Mَلتِج
Għanja	گħَنجَ
Imnikket	Iمنِككeت
O	O
Duluri	ضُلُرِ
Mhux	Mهُخ
war	وَر
Jiena	چِeنَ
fittixt	فِتتِخت
nsebbaħ	نسeببَħ
dare	دَرe
k	ك
U	U
nfewwaħlek	نفeووَħلeك
altarek	َلتَرeك
Imma	Iممَ
xewk	خeوك
xagħr	خَغħر
għollieq	غħْللِeق
marrâd	مَررâد
musfari	مُسفَرِ
Dana	ضَنَ
oħrajn	ْħرَجن
ġe	ġe
w	و
bid	بِد
deheb	دeهeب
għammru	غħَممرُ
darek	دَرeك
ħaġar	ħَġَر
sawru	سَورُ
kont	كْنت
barran	بَررَن
Mingħajr	Mِنغħَجر
ward	وَرد
għani	غħَنِ
Ma	Mَ
stmerrejt	ستمeررeجت
Int	Iنت
imnikket	ِمنِككeت
‘	‘
tbissimt	تبِسسِمت
Kollok	ٍْللْك
ħlewwa	ħلeووَ
kollok	كْللْك
ħniena	ħنِeنَ
Serraħt	صeررَħت
għajjiena	غħَججِeنَ
Inti	Iنتِ
Nofsinhar	ٌْفسِنهَر
Sajfi	صَجفِ
Barra	Bَررَ
sħana	سħَنَ
qiegħda	قِeغħدَ
mgħaxxa	مغħَخخَ
ħajj	ħَجج
xemx	خeمخ
tikwi	تِكوِ
eħrex	eħرeخ
sajfija	سَجفِجَ
kollox	كْللْخ
ħiemed	ħِeمeد
bħallikieku	بħَللِكِeكُ
ġrajj	ġرَجج
Waqfu	Wَقفُ
imbikkma	ِمبِككمَ
did	دِد
bżar	بżَر
żunżan	żُنżَن
qtajja	قتَججَ
Irewwaħ	Iرeووَħ
ġewnħu	ġeونħُ
ħamrij	ħَمرِج
ħanfus	ħَنفُس
sewdieni	سeودِeنِ
akbar	َكبَر
skiet	سكِeت
jissajj	جِسسَجج
jsib	جسِب
qmuħ	قمُħ
imxerrda	ِمخeرردَ
mogħdija	مْغħدِجَ
Ħiemed	Ħِeمeد
mewġ	مeوġ
jitniegħes	جِتنِeغħeس
qala	قَلَ
bogħod	بْغħْد
jitriegħex	جِترِeغħeخ
qlugħ	قلُغħ
bajdan	بَجدَن
le	لe
jaf	جَف
għala	غħَلَ
bla	بلَ
taf	تَف
tħoss	تħْسس
tixxabba	تِخخَببَ
Minn	Mِنن
kulm	كُلم
dwarha	دوَرهَ
tikbi	تِكبِ
warrani	وَررَنِ
mdejqa	مدeجقَ
bix	بِخ
imħabba	ِمħَببَ
Quo	Qُْ
Vadis	ڤَدِس
?	?
Weħidha	Weħِدهَ
ġeblija	ġeبلِجَ
imbiegħda	ِمبِeغħدَ
ħuth	ħُته
ħadranij	ħَدرَنِج
xwejħa	خوeجħَ
ħarrub	ħَررُب
magħtub	مَغħتُب
mit	مِت
toqol	تْقْل
sni	سنِ
tħares	تħَرeس
madwarh	مَدوَره
għaġla	غħَġلَ
għaddejji	غħَددeججِ
taħseb	تَħسeب
mgħaġġlin	مغħَġġلِن
sejri	سeجرِ
dejjem	دeججeم
saba	سَبَ
nieqa	نِeقَ
qaba	قَبَ
dal	دَل
ħalja	ħَلجَ
bnedmin	بنeدمِن
Fejn	ًeجن
għeruq	غħeرُق
Qatt	Qَتت
lilhom	لِلهْم
trażżan	ترَżżَن
bewsa	بeوسَ
riħ	رِħ
tlajjem	تلَججeم
tax	تَخ
Għaliex	گħَلِeخ
mistrie	مِسترِe
ħ	ħ
għalihom	غħَلِهْم
hemmx	هeممخ
lehma	لeهمَ
tagħho	تَغħهْ
m	م
ħajja	ħَججَ
suq	سُق
Waħdi	Wَħدِ
tlaj	تلَج
għoljiet	غħْلجِeت
xemxij	خeمخِج
żgħorija	żغħْرِجَ
ħadd	ħَدد
qall	قَلل
għandi	غħَندِ
nsib	نسِب
…	…
sibtha	سِبتهَ
tiegħ	تِeغħ
tgħannqet	تغħَننقeت
miegħ	مِeغħ
Lejl	Leجل
Fra	ًرَ
xorta	خْرتَ
mingħalija	مِنغħَلِجَ
basta	بَستَ
għadde	غħَددe
leħħu	لeħħُ
ntfe	نتفe
ġuf	ġُف
qerredij	قeررeدِج
misruqin	مِسرُقِن
Mma	Mمَ
ħarba	ħَربَ
twa	توَ
tbiddlu	تبِددلُ
dwa	دوَ
jagħti	جَغħتِ
sewdien	سeودِeن
aktarx	َكتَرخ
tinsa	تِنسَ
lewn	لeون
ewlien	eولِeن
ferħ	فeرħ
dwejjaq	دوeججَق
Għadni	گħَدنِ
jien	جِeن
kiebi	كِeبِ
għajjien	غħَججِeن
Żgħorij	Żغħْرِج
ħlomt	ħلْمت
żgħożiti	żغħْżِتِ
Infittex	Iنفِتتeخ
baħħ	بَħħ
xiħa	خِħَ
tafx	تَفخ
tgħid	تغħِد
ħlief	ħلِeف
aħħ	َħħ
Li	Lِ
kollu	كْللُ
ħolma	ħْلمَ
għext	غħeخت
Aħ	اħ
kieku	كِeكُ
tnejn	تنeجن
ingħaqdu	ِنغħَقدُ
qamar	قَمَر
immiss	ِممِسس
Issa	Iسسَ
qasira	قَسِرَ
ħolm	ħْلم
duħħan	دُħħَن
itir	ِتِر
Ballatella	Bَللَتeللَ
Funtana	ًُنتَنَ
qniepen	قنِeةeن
Qniepen	Qنِeةeن
viċin	ثِċِن
Leħinkom	Leħِنكْم
dell	دeلل
għajn	غħَجن
jirtogħod	جِرتْغħْد
misterjuż	مِستeرجُż
xewqat	خeوقَت
għanjiet	غħَنجِeت
warran	وَررَن
tempju	تeمةجُ
ilhom	ِلهْم
mitfija	مِتفِجَ
llum	للُم
ġol	ġْل
Funtan	ًُنتَن
liturġija	لِتُرġِجَ
Bakkan	Bَككَن
ċimiterji	ċِمِتeرجِ
sħarijiet	سħَرِجِeت
żfin	żفِن
dlam	دلَم
alkovi	َلكْثِ
Titniegħed	طِتنِeغħeد
sabar	سَبَر
22	22
bijografija	بِجْغرَفِجَ
sħiħa	سħِħَ
dehret	دeهرeت
1984	1984
Professur	پرْفeسسُر
Oliver	Oلِثeر
Friggieri	ًرِغغِeرِ
Valletta	ڤَللeتتَ
14	14
Awwissu	اووِسسُ
1907	1907
6	6
Ottubru	Oتتُبرُ
politiku	ةْلِتِكُ
awtur	َوتُر
Bin	Bِن
Pawlu	پَولُ
Ġovanna	Ġْثَننَ
Debono	ضeبْنْ
Għawdxin	گħَودخِن
wild	وِلد
primarja	ةرِمَرجَ
Ph	په
C	C
Kap	ٍَة
Evelyn	عثeلين
Testa	طeستَ
kellu	كeللُ
ulied	ُلِeد
Politika	پْلِتِكَ
delegat	دeلeغَت
1926	1926
ħames	ħَمeس
twaqqif	توَققِف
Eżekuttiv	عżeكُتتِث
ħareġ	ħَرeġ
Istorja	Iستْرجَ
Ħaddiema	Ħَددِeمَ
għaxar	غħَخَر
kkontesta	ككْنتeستَ
forsi	فْرسِ
għax	غħَخ
ħesrem	ħeسرeم
Ħidma	Ħِدمَ
Ilsien	Iلسِeن
Xirka	Xِركَ
Tixrid	طِخرِد
studenti	ستُدeنتِ
Mediċina	Meدِċِنَ
għan	غħَن
jingħata	جِنغħَتَ
prestiġju	ةرeستِġجُ
jistħoqqlu	جِستħْققلُ
Bdew	Bدeو
pubblikazzjoni	ةُببلِكَززجْنِ
Ġabra	Ġَبرَ
Kitba	ٍِتبَ
Pubblikazzjoni	پُببلِكَززجْنِ
Excelsior	عخceلسِْر
xtara	ختَرَ
butu	بُتُ
Triq	طرِق
Ursula	Uرسُلَ
sentejn	سeنتeجن
għajnuna	غħَجنُنَ
Kaptan	ٍَةتَن
V	ڤ
Laferla	Lَفeرلَ
Saydon	صَيدْن
Chetcuti	Cهeتcُتِ
sensiela	سeنسِeلَ
Anġli	انġلِ
Niket	ٌِكeت
Ġino	Ġِنْ
Muscat	Mُسcَت
Azzopardi	اززْةَردِ
Saltniet	صَلتنِeت
Aquilina	اقُِلِنَ
Leli	Leلِ
Ħaż	Ħَż
Żgħir	Żغħِر
Ġwann	Ġوَنن
Salib	صَلِب
Fidda	ًِددَ
Wistin	Wِستِن
Born	Bْرن
rumanzi	رُمَنزِ
stess	ستeسس
Qawwa	Qَووَ
Imħabba	Iمħَببَ
Stampa	صتَمةَ
Kiteb	ٍِتeب
Ġuzè	Ġُزè
ħidmietu	ħِدمِeتُ
kitbietu	كِتبِeتُ
hi	هِ
teżi	تeżِ
Unuri	Uنُرِ
Nora	ٌْرَ
għamlet	غħَملeت
1974	1974
1990	1990
stampat	ستَمةَت
dramm	درَمم
2007	2007
għeluq	غħeلُق
twelidu	توeلِدُ
In	Iن
Novelli	ٌْثeللِ
novelli	نْثeللِ
miġbura	مِġبُرَ
Immanuel	Iممَنُeل
Mifsud	Mِفسُد
Ġdid	Ġدِد
12	12
Settembru	صeتتeمبرُ
kittieb	كِتتِeب
proża	ةرْżَ
Għal	گħَل
imdaħħal	ِمدَħħَل
teatru	تeَترُ
sperimentali	سةeرِمeنتَلِ
ġabriet	ġَبرِeت
anki	َنكِ
stejjer	ستeججeر
tfal	تفَل
Saturnu	صَتُرنُ
pjaneta	ةجَنeتَ
mix	مِخ
Xemx	Xeمخ
ġgant	ġغَنت
gassus	غَسسُس
solari	سْلَرِ
qablu	قَبلُ
Ġove	Ġْثe
ċrieki	ċرِeكِ
prinċipjalment	ةرِنċِةجَلمeنت
komposti	كْمةْستِ
partiċelli	ةَرتِċeللِ
silġ	سِلġ
ammonti	َممْنتِ
iċken	ِċكeن
trab	ترَب
ġebli	ġeبلِ
msemmi	مسeممِ
alla	َللَ
minġel	مِنġeل
divinità	دِثِنِتà
Unicode	Uنِcْدe
Parametri	پَرَمeترِ
orbitali	ْربِتَلِ
forma	فْرمَ
viżibilment	ثِżِبِلمeنت
mgħaffġa	مغħَففġَ
poli	ةْلِ
dijametri	دِجَمeترِ
ekwatorjali	eكوَتْرجَلِ
polari	ةْلَرِ
ivarjaw	ِثَرجَو
120	120
536	536
km	كم
108	108
728	728
riżultat	رِżُلتَت
rotazzjoni	رْتَززجْنِ
mgħaġġla	مغħَġġلَ
kompożizzjoni	كْمةْżِززجْنِ
fluwida	فلُوِدَ
għaldaqstant	غħَلدَقستَنت
faċli	فَċلِ
jiddeforma	جِددeفْرمَ
ġganti	ġغَنتِ
gassusi	غَسسُسِ
ddeformati	ددeفْرمَتِ
manjiera	مَنجِeرَ
evidenti	eثِدeنتِ
densità	دeنسِتà
medja	مeدجَ
0	0
69	69
g	غ
/	/
cm3	cم3
sewwa	سeووَ
valur	ثَلُر
medju	مeدجُ
kumbinazzjoni	كُمبِنَززجْنِ
densitajiet	دeنسِتَجِeت
baxxi	بَخخِ
atmosfera	َتمْسفeرَ
elevati	eلeثَتِ
intern	ِنتeرن
sikurament	سِكُرَمeنت
jorbita	جْربِتَ
distanza	دِستَنزَ
1426	1426
98	98
miljuni	مِلجُنِ
jdum	جدُم
dawra	دَورَ
29	29
terrestri	تeررeسترِ
orbita	ْربِتَ
inklinata	ِنكلِنَتَ
488°	488°
rispett	رِسةeتت
eklittika	eكلِتتِكَ
Dawl	ضَول
intens	ِنتeنس
mqabbel	مقَببeل
kejl	كeجل
effettwat	eففeتتوَت
massa	مَسسَ
95	95
700	700
assi	َسسِ
rotazioni	رْتَزِْنِ
inklinat	ِنكلِنَت
26	26
73	73
gradi	غرَدِ
jirregola	جِررeغْلَ
ċiklu	ċِكلُ
staġuni	ستَġُنِ
analogu	َنَلْغُ
marzjan	مَرزجَن
twil	توِل
perjodu	ةeرجْدُ
rotazjoni	رْتَزجْنِ
ivvarja	ِثثَرجَ
skond	سكْند
kwota	كوْتَ
istrati	ِسترَتِ
superjuri	سُةeرجُرِ
regjuni	رeغجُنِ
233	233
siegħa	سِeغħَ
iwwetqu	ِووeتقُ
kompluta	كْمةلُتَ
qalba	قَلبَ
mantell	مَنتeلل
idduru	ِددُرُ
675	675
Atmosfera	اتمْسفeرَ
turi	تُرِ
affarijiet	َففَرِجِeت
simili	سِمِلِ
dghajfa	دغهَجفَ
ekwatur	eكوَتُر
oġġetti	ْġġeتتِ
dgħajfa	دغħَجفَ
qatt	قَتت
ġew	ġeو
oservati	ْسeرثَتِ
wasla	وَسلَ
sondi	سْندِ
Voyager	ڤْيَغeر
teleskopji	تeلeسكْةجِ
tjiebu	تجِeبُ
osservazjonijiet	ْسسeرثَزجْنِجِeت
regulari	رeغُلَرِ
karatteristiċi	كَرَتتeرِستِċِ
atmosferiċi	َتمْسفeرِċِ
issiru	ِسسِرُ
faċilment	فَċِلمeنت
Filfatt	ًِلفَتت
instabu	ِنستَبُ
tempesti	تeمةeستِ
ovali	ْثَلِ
twila	توِلَ
Teleskopju	طeلeسكْةجُ
Spazjali	صةَزجَلِ
Hubble	حُببلe
osservata	ْسسeرثَتَ
sħaba	سħَبَ
nube	نُبe
bajda	بَجدَ
enorme	eنْرمe
1994	1994
Ċrieki	Ċرِeكِ
Manjetiċi	Mَنجeتِċِ
Iċ	Iċ
magħmula	مَغħمُلَ
primarjament	ةرِمَرجَمeنت
ilmi	ِلمِ
Huma	حُمَ
kbar	كبَر
għexieren	غħeخِeرeن
metri	مeترِ
jestendu	جeستeندُ
darbtejn	دَربتeجن
daqs	دَقس
radju	رَدجُ
prinċipali	ةرِنċِةَلِ
Ċ	Ċ
bejnithom	بeجنِتهْم
ċm	ċم
isseparati	ِسسeةَرَتِ
mid	مِد
diviżjoni	دِثِżجْنِ
Cassini	Cَسسِنِ
innutati	ِننُتَتِ
1675	1675
maħsub	مَħسُب
diviżijoni	دِثِżِجْنِ
ikkawżata	ِككَوżَتَ
effett	eففeتت
gravitazzjonali	غرَثِتَززجْنَلِ
Mimas	Mِمَس
Id	Iد
qasma	قَسمَ
000	000
3	3
Skrutinju	صكرُتِنجُ
juru	جُرُ
mimlija	مِملِجَ
fini	فِنِ
kwantità	كوَنتِتà
Ċirku	Ċِركُ
iċ	ِċ
ċirku	ċِركُ
ċriketti	ċرِكeتتِ
qasmiet	قَسمِeت
Fetħa	ًeتħَ
Enke	عنكe
325	325
wisgħa	وِسغħَ
fetħa	فeتħَ
osservabbli	ْسسeرثَببلِ
amatorjali	َمَتْرجَلِ
jiddi	جِددِ
miċ	مِċ
parti	ةَرتِ
ċentrali	ċeنترَلِ
spkes	سةكeس
mkejjen	مكeججeن
mudlama	مُدلَمَ
plasma	ةلَسمَ
imtella	ِمتeللَ
kampijiet	كَمةِجِeت
manjetiċi	مَنجeتِċِ
pjan	ةجَن
ċ	ċ
għamla	غħَملَ
kanali	كَنَلِ
ċrieket	ċرِeكeت
ċkejkna	ċكeجكنَ
1980	1980
innota	ِننْتَ
joħorġu	جْħْرġُ
jespandu	جeسةَندُ
jibqaw	جِبقَو
ħerġin	ħeرġِن
jiffurmaw	جِففُرمَو
E	ع
viżibbli	ثِżِببلِ
lejn	لeجن
materjal	مَتeرجَل
biswit	بِسوِت
Enkeladu	عنكeلَدُ
sors	سْرس
ewlieni	eولِeنِ
skopert	سكْةeرت
Pioneer	پِْنeeر
II	II
ibgħad	ِبغħَد
G	گ
fin	فِن
Żewġ	Żeوġ
qmura	قمُرَ
zgħar	زغħَر
jiraw	جِرَو
Prometeju	پرْمeتeجُ
Pandora	پَندْرَ
ġoċ	ġْċ
tinsab	تِنسَب
perturbazzjonijiet	ةeرتُربَززجْنِجِeت
iżommu	ِżْممُ
granelli	غرَنeللِ
ċirk	ċِرك
reċenti	رeċeنتِ
8	8
000mil	000مِل
vettura	ثeتتُرَ
spazjali	سةَزجَلِ
1981	1981
Qmura	Qمُرَ
magħrufa	مَغħرُفَ
minnhom	مِننهْم
Titanu	طِتَنُ
1655	1655
Christian	Cهرِستَِن
Huygens	حُيغeنس
uniku	ُنِكُ
predominanti	ةرeدْمِنَنتِ
ammont	َممْنت
nitroġenu	نِترْġeنُ
traċċi	ترَċċِ
idrocarbonju	ِدرْcَربْنجُ
2004	2004
mibgħuta	مِبغħُتَ
tinvestiga	تِنثeستِغَ
moħbi	مْħبِ
sħab	سħَب
Hu	حُ
Metanu	Meتَنُ
likwidu	لِكوِدُ
wiċċ	وِċċ
misjub	مِسجُب
jiġu	جِġُ
maqsuma	مَقسُمَ
gruppi	غرُةةِ
ċkejknin	ċكeجكنِن
ittermedju	ِتتeرمeدجُ
kesħin	كeسħِن
imsemmija	ِمسeممِجَ
Sitta	صِتتَ
jinfluwenzaw	جِنفلُوeنزَو
inklużi	ِنكلُżِ
Pan	پَن
Atlas	اتلَس
jgħinu	جغħِنُ
tkun	تكُن
krejata	كرeجَتَ
Enċke	عنċكe
Fobe	ًْبe
imbiegħed	ِمبِeغħeد
Fost	ًْست
intermedju	ِنتeرمeدجُ
Enkeladus	عنكeلَدُس
Tetis	طeتِس
Dione	ضِْنe
Rea	Reَ
Ipetu	Iةeتُ
gravament	غرَثَمeنت
imħafra	ِمħَفرَ
inużwali	ِنُżوَلِ
tarf	تَرف
skur	سكُر
emisfera	eمِسفeرَ
dijuża	دِجُżَ
astronomija	َسترْنْمِجَ
navigazzjoni	نَثِغَززجْنِ
isfera	ِسفeرَ
ċelesti	ċeلeستِ
sfera	سفeرَ
rotazzjonali	رْتَززجْنَلِ
imaġinarja	ِمَġِنَرجَ
raġġ	رَġġ
ġgantesk	ġغَنتeسك
konċentrika	كْنċeنترِكَ
koassjali	كَْسسجَلِ
liema	لِeمَ
jidru	جِدرُ
imwaħla	ِموَħلَ
astri	َسترِ
narawhom	نَرَوهْم
oriġni	ْرِġنِ
illużjoni	ِللُżجْنِ
tinstab	تِنستَب
fatt	فَتت
hinn	هِنن
aħniex	َħنِeخ
kapaċi	كَةَċِ
nivvalutaw	نِثثَلُتَو
iġsma	ِġسمَ
għalhekk	غħَلهeكك
soċjetajiet	سْċجeتَجِeت
antiki	َنتِكِ
jemmnu	جeممنُ
kwiekeb	كوِeكeب
ekwidistanti	eكوِدِستَنتِ
mudell	مُدeلل
veru	ثeرُ
univers	ُنِثeرس
asstrazzjoni	َسسترَززجْنِ
utli	ُتلِ
korett	كْرeتت
naraw	نَرَو
sema	سeمَ
daqshekk	دَقسهeكك
impossibli	ِمةْسسِبلِ
tikkalkulha	تِككَلكُلهَ
sempliċiment	سeمةلِċِمeنت
lejhom	لeجهْم
Peress	پeرeسس
distanzi	دِستَنزِ
indeterminati	ِندeتeرمِنَتِ
irrid	ِررِد
oġġett	ْġġeتت
isibu	ِسِبُ
għodda	غħْددَ
prattika	ةرَتتِكَ
pożizzjonali	ةْżِززجْنَلِ
Waqt	Wَقت
punti	ةُنتِ
Pol	پْل
Tramuntana	طرَمُنتَنَ
Ċelesti	Ċeلeستِ
nofs	نْفس
tidher	تِدهeر
ddur	ددُر
fuqna	فُقنَ
lvant	لثَنت
punent	ةُنeنت
tlesti	تلeستِ
ċirkwit	ċِركوِت
komplut	كْمةلُت
24	24
siderali	سِدeرَلِ
fenomenu	فeنْمeنُ
iseħħ	ِسeħħ
minħabba	مِنħَببَ
dawrien	دَورِeن
iddur	ِددُر
fuqha	فُقهَ
nfisha	نفِسهَ
mgħoddija	مغħْددِجَ
tagħti	تَغħتِ
impressjoni	ِمةرeسسجْنِ
ċirkonferenza	ċِركْنفeرeنزَ
massima	مَسسِمَ
jaqsam	جَقسَم
żewġt	żeوġت
emisferi	eمِسفeرِ
Nofs	ٌْفس
Dawk	ضَوك
stillel	ستِللeل
fissi	فِسسِ
pożizzjoni	ةْżِززجْنِ
relativa	رeلَتِثَ
aħjar	َħجَر
issir	ِسسِر
varjazzjoni	ثَرجَززجْنِ
minima	مِنِمَ
riferiment	رِفeرِمeنت
tradizjonalment	ترَدِزجْنَلمeنت
kostellazjonijiet	كْستeللَزجْنِجِeت
jagħtu	جَغħتُ
approssimativ	َةةرْسسِمَتِث
Pożizzjonijiet	پْżِززجْنِجِeت
preċiżi	ةرeċِżِ
individwati	ِندِثِدوَتِ
Koordinati	ٍْْردِنَتِ
esitenza	eسِتeنزَ
Faxxa	ًَخخَ
Kuiper	ٍُِةeر
issuġġerita	ِسسُġġeرِتَ
Minħabba	Mِنħَببَ
Kometi	ٍْمeتِ
perijodu	ةeرِجْدُ
qasir	قَسِر
iduru	ِدُرُ
pjaneti	ةجَنeتِ
probabbli	ةرْبَببلِ
joriġinaw	جْرِġِنَو
Sistema	صِستeمَ
Solari	صْلَرِ
Awissu	اوِسسُ
David	ضَثِد
Jewitt	چeوِتت
Jane	چَنe
Luu	Lُُ
skoperti	سكْةeرتِ
data	دَتَ
issuġġerit	ِسسُġġeرِت
Pluto	پلُتْ
qamru	قَمرُ
Karonte	ٍَرْنتe
jagħmlu	جَغħملُ
Tritone	طرِتْنe
satellita	سَتeللِتَ
Nettunu	ٌeتتُنُ
normal	نْرمَل
retrograda	رeترْغرَدَ
imġieba	ِمġِeبَ
iġġiegħel	ِġġِeغħeل
esperti	eسةeرتِ
jaħsbu	جَħسبُ
oriġinarjament	ْرِġِنَرجَمeنت
maqbuda	مَقبُدَ
kamp	كَمة
Kometa	ٍْمeتَ
boċċa	بْċċَ
tivvjaġġa	تِثثجَġġَ
ispazju	ِسةَزجُ
kometi	كْمeتِ
differenti	دِففeرeنتِ
asterojdi	َستeرْجدِ
orbiti	ْربِتِ
jaslu	جَسلُ
Plutone	پلُتْنe
mbegħdin	مبeغħدِن
Dinja	ضِنجَ
biżżejjed	بِżżeججeد
inkunu	ِنكُنُ
nistgħu	نِستغħُ
billejl	بِللeجل
Għandhom	گħَندهْم
dnub	دنُب
twal	توَل
iddewweb	ِددeووeب
denb	دeنب
kometa	كْمeتَ
jitkaxkarx	جِتكَخكَرخ
warajha	وَرَجهَ
jipponta	جِةةْنتَ
direttament	دِرeتتَمeنت
għaliex	غħَلِeخ
itajru	ِتَجرُ
iebsa	ِeبسَ
tissejjaħ	تِسسeججَħ
nukleu	نُكلeُ
Hi	حِ
suwed	سُوeد
Meta	Meتَ
raġġi	رَġġِ
dawl	دَول
immirata	ِممِرَتَ
Halley	حَللeي
rriflettiet	ررِفلeتتِeت
4	4
lura	لُرَ
lejna	لeجنَ
ra	رَ
titkisser	تِتكِسسeر
biċċiet	بِċċِeت
Biela	Bِeلَ
rawha	رَوهَ
taħbat	تَħبَت
Shoemaker	صهْeمَكeر
Levy	Leثي
9	9
ħabtet	ħَبتeت
jimxu	جِمخُ
Astronomi	استرْنْمِ
tfarrak	تفَررَك
Perjodiċità	پeرجْدِċِتà
perjodiċi	ةeرجْدِċِ
jerġgħu	جeرġغħُ
oħrjan	ْħرجَن
għandħom	غħَندħْم
firxa	فِرخَ
mijiet	مِجِeت
eluf	eلُف
disk	دِسك
diffu	دِففُ
assoċjat	َسسْċجَت
magħha	مَغħهَ
qegħdin	قeغħدِن
Jaħsbu	چَħسبُ
itwal	ِتوَل
Sħaba	صħَبَ
Oort	Oْرت
sferika	سفeرِكَ
ipotizzata	ِةْتِززَتَ
korpijiet	كْرةِجِeت
saħħa	سَħħَ
minħaba	مِنħَبَ
kkawżati	ككَوżَتِ
massivi	مَسسِثِ
Uranu	Uرَنُ
stilel	ستِلeل
Iperboliċi	Iةeربْلِċِ
rari	رَرِ
jgħaddu	جغħَددُ
jintefgħu	جِنتeفغħُ
interstellari	ِنتeرستeللَرِ
matul	مَتُل
trajettorju	ترَجeتتْرجُ
iperboliku	ِةeربْلِكُ
Ġew	Ġeو
osservati	ْسسeرثَتِ
Eχokometi	عχْكْمeتِ
tagħna	تَغħنَ
galassija	غَلَسسِجَ
Anna	اننَ
magħrufin	مَغħرُفِن
spiss	سةِسس
Encke	عنcكe
identifikata	ِدeنتِفِكَتَ
1786	1786
elf	eلف
mitejn	مِتeجن
iqsar	ِقسَر
nafu	نَفُ
bih	بِه
Delevan	ضeلeثَن
1914	1914
għaliha	غħَلِهَ
ġietx	ġِeتخ
determinata	دeتeرمِنَتَ
preċiżjoni	ةرeċِżجْنِ
kalkulu	كَلكُلُ
approssimattiv	َةةرْسسِمَتتِث
ibassar	ِبَسسَر
terġa	تeرġَ
749	749
Taljana	طَلجَنَ
cometa	cْمeتَ
Latin	Lَتِن
cometes	cْمeتeس
latinizzazzjoni	لَتِنِززَززجْنِ
Griega	گرِeغَ
κομήτης	κομήτης
komētēs	كْمēتēس
oriġinalment	ْرِġِنَلمeنت
xagħar	خَغħَر
κόμη	κόμη
komē	كْمē
ras	رَس
filosfu	فِلْسفُ
xjenzjat	خجeنزجَت
Aristotle	ارِستْتلe
mnissla	منِسسلَ
jiddeskrivi	جِددeسكرِثِ
astronomiku	َسترْنْمِكُ
diska	دِسكَ
estensjoniet	eستeنسجْنِeت
qishom	قِسهْم
xagħriet	خَغħرِeت
antik	َنتِك
